"itemIdx","itemType","defaultHaveCount","maxHaveCount"
"401001","THEME","1","1"
"402001","THEME","0","1"
"402002","THEME","0","1"
"403001","THEME","0","1"
"403002","THEME","0","1"
"403003","THEME","0","1"
"403004","THEME","0","1"
"403005","THEME","0","1"
"404001","THEME","0","1"
"404002","THEME","0","1"
"420001","HINT","3","50"
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
